Total Nacional;Provincias;Sexo;Periodo;Total
Total Nacional;02 Albacete;Mujeres;1969;3.590
Total Nacional;02 Albacete;Mujeres;1968;3.585
Total Nacional;02 Albacete;Mujeres;1967;3.668
Total Nacional;02 Albacete;Mujeres;1966;3.768
Total Nacional;02 Albacete;Mujeres;1965;3.802
Total Nacional;02 Albacete;Mujeres;1964;4.198
Total Nacional;02 Albacete;Mujeres;1963;4.229
Total Nacional;02 Albacete;Mujeres;1962;4.286
Total Nacional;02 Albacete;Mujeres;1961;4.334
Total Nacional;02 Albacete;Mujeres;1960;4.679
Total Nacional;02 Albacete;Mujeres;1959;4.515
Total Nacional;02 Albacete;Mujeres;1958;4.591
Total Nacional;02 Albacete;Mujeres;1957;4.541
Total Nacional;02 Albacete;Mujeres;1956;4.149
Total Nacional;02 Albacete;Mujeres;1955;4.280
Total Nacional;02 Albacete;Mujeres;1954;4.227
Total Nacional;02 Albacete;Mujeres;1953;4.501
Total Nacional;02 Albacete;Mujeres;1952;4.588
Total Nacional;02 Albacete;Mujeres;1951;4.412
Total Nacional;02 Albacete;Mujeres;1950;4.782
Total Nacional;02 Albacete;Mujeres;1949;4.849
Total Nacional;02 Albacete;Mujeres;1948;5.229
Total Nacional;02 Albacete;Mujeres;1947;4.501
Total Nacional;02 Albacete;Mujeres;1946;4.735
Total Nacional;02 Albacete;Mujeres;1945;4.928
Total Nacional;02 Albacete;Mujeres;1944;5.060
Total Nacional;02 Albacete;Mujeres;1943;5.002
Total Nacional;02 Albacete;Mujeres;1942;4.539
Total Nacional;02 Albacete;Mujeres;1941;3.867
Total Nacional;03 Alicante/Alacant;Total;2022;13.337
Total Nacional;03 Alicante/Alacant;Total;2021;13.374
Total Nacional;03 Alicante/Alacant;Total;2020;13.382
Total Nacional;03 Alicante/Alacant;Total;2019;14.074
Total Nacional;03 Alicante/Alacant;Total;2018;14.204
Total Nacional;03 Alicante/Alacant;Total;2017;15.027
Total Nacional;03 Alicante/Alacant;Total;2016;15.284
Total Nacional;03 Alicante/Alacant;Total;2015;15.893
Total Nacional;03 Alicante/Alacant;Total;2014;16.019
Total Nacional;03 Alicante/Alacant;Total;2013;15.841
Total Nacional;03 Alicante/Alacant;Total;2012;16.697
Total Nacional;03 Alicante/Alacant;Total;2011;17.253
Total Nacional;03 Alicante/Alacant;Total;2010;18.221
Total Nacional;03 Alicante/Alacant;Total;2009;18.362
Total Nacional;03 Alicante/Alacant;Total;2008;20.226
Total Nacional;03 Alicante/Alacant;Total;2007;19.069
Total Nacional;03 Alicante/Alacant;Total;2006;18.832
Total Nacional;03 Alicante/Alacant;Total;2005;18.141
Total Nacional;03 Alicante/Alacant;Total;2004;17.655
Total Nacional;03 Alicante/Alacant;Total;2003;17.041
Total Nacional;03 Alicante/Alacant;Total;2002;15.867
Total Nacional;03 Alicante/Alacant;Total;2001;15.150
Total Nacional;03 Alicante/Alacant;Total;2000;14.467
Total Nacional;03 Alicante/Alacant;Total;1999;13.696
Total Nacional;03 Alicante/Alacant;Total;1998;13.078
Total Nacional;03 Alicante/Alacant;Total;1997;12.777
Total Nacional;03 Alicante/Alacant;Total;1996;13.006
Total Nacional;03 Alicante/Alacant;Total;1995;13.079
Total Nacional;03 Alicante/Alacant;Total;1994;13.248
Total Nacional;03 Alicante/Alacant;Total;1993;13.614
Total Nacional;03 Alicante/Alacant;Total;1992;14.115
Total Nacional;03 Alicante/Alacant;Total;1991;14.437
Total Nacional;03 Alicante/Alacant;Total;1990;14.744
Total Nacional;03 Alicante/Alacant;Total;1989;14.540
Total Nacional;03 Alicante/Alacant;Total;1988;15.057
Total Nacional;03 Alicante/Alacant;Total;1987;14.725
Total Nacional;03 Alicante/Alacant;Total;1986;14.895
Total Nacional;03 Alicante/Alacant;Total;1985;15.140
Total Nacional;03 Alicante/Alacant;Total;1984;15.487
Total Nacional;03 Alicante/Alacant;Total;1983;16.064
Total Nacional;03 Alicante/Alacant;Total;1982;17.345
Total Nacional;03 Alicante/Alacant;Total;1981;18.236
Total Nacional;03 Alicante/Alacant;Total;1980;18.614
Total Nacional;03 Alicante/Alacant;Total;1979;19.380
Total Nacional;03 Alicante/Alacant;Total;1978;20.224
Total Nacional;03 Alicante/Alacant;Total;1977;20.620
Total Nacional;03 Alicante/Alacant;Total;1976;21.334
Total Nacional;03 Alicante/Alacant;Total;1975;20.640
Total Nacional;03 Alicante/Alacant;Total;1974;21.311
Total Nacional;03 Alicante/Alacant;Total;1973;20.610
Total Nacional;03 Alicante/Alacant;Total;1972;19.714
Total Nacional;03 Alicante/Alacant;Total;1971;19.878
Total Nacional;03 Alicante/Alacant;Total;1970;19.552
Total Nacional;03 Alicante/Alacant;Total;1969;19.043
Total Nacional;03 Alicante/Alacant;Total;1968;18.784
Total Nacional;03 Alicante/Alacant;Total;1967;18.704
Total Nacional;03 Alicante/Alacant;Total;1966;18.325
Total Nacional;03 Alicante/Alacant;Total;1965;17.611
Total Nacional;03 Alicante/Alacant;Total;1964;18.252
Total Nacional;03 Alicante/Alacant;Total;1963;16.851
Total Nacional;03 Alicante/Alacant;Total;1962;16.052
Total Nacional;03 Alicante/Alacant;Total;1961;15.464
Total Nacional;03 Alicante/Alacant;Total;1960;14.804
Total Nacional;03 Alicante/Alacant;Total;1959;14.811
Total Nacional;03 Alicante/Alacant;Total;1958;14.930
Total Nacional;03 Alicante/Alacant;Total;1957;14.381
Total Nacional;03 Alicante/Alacant;Total;1956;12.636
Total Nacional;03 Alicante/Alacant;Total;1955;12.745
Total Nacional;03 Alicante/Alacant;Total;1954;12.063
Total Nacional;03 Alicante/Alacant;Total;1953;11.623
Total Nacional;03 Alicante/Alacant;Total;1952;12.116
Total Nacional;03 Alicante/Alacant;Total;1951;11.945
Total Nacional;03 Alicante/Alacant;Total;1950;11.591
Total Nacional;03 Alicante/Alacant;Total;1949;12.185
Total Nacional;03 Alicante/Alacant;Total;1948;13.322
Total Nacional;03 Alicante/Alacant;Total;1947;12.183
Total Nacional;03 Alicante/Alacant;Total;1946;12.079
Total Nacional;03 Alicante/Alacant;Total;1945;12.659
Total Nacional;03 Alicante/Alacant;Total;1944;12.553
Total Nacional;03 Alicante/Alacant;Total;1943;12.293
Total Nacional;03 Alicante/Alacant;Total;1942;10.533
Total Nacional;03 Alicante/Alacant;Total;1941;11.017
Total Nacional;03 Alicante/Alacant;Hombres;2022;6.878
Total Nacional;03 Alicante/Alacant;Hombres;2021;6.925
Total Nacional;03 Alicante/Alacant;Hombres;2020;6.836
Total Nacional;03 Alicante/Alacant;Hombres;2019;7.331
Total Nacional;03 Alicante/Alacant;Hombres;2018;7.342
Total Nacional;03 Alicante/Alacant;Hombres;2017;7.708
Total Nacional;03 Alicante/Alacant;Hombres;2016;7.957
Total Nacional;03 Alicante/Alacant;Hombres;2015;8.278
Total Nacional;03 Alicante/Alacant;Hombres;2014;8.214
Total Nacional;03 Alicante/Alacant;Hombres;2013;8.248
Total Nacional;03 Alicante/Alacant;Hombres;2012;8.545
