Total Nacional;Provincias;Sexo;Periodo;Total
Total Nacional;04 Almería;Hombres;1937;""
Total Nacional;04 Almería;Hombres;1936;""
Total Nacional;04 Almería;Hombres;1935;""
Total Nacional;04 Almería;Hombres;1934;""
Total Nacional;04 Almería;Hombres;1933;""
Total Nacional;04 Almería;Hombres;1932;""
Total Nacional;04 Almería;Hombres;1931;""
Total Nacional;04 Almería;Hombres;1930;""
Total Nacional;04 Almería;Mujeres;1974;1.652
Total Nacional;04 Almería;Mujeres;1973;1.682
Total Nacional;04 Almería;Mujeres;1972;1.593
Total Nacional;04 Almería;Mujeres;1971;1.663
Total Nacional;04 Almería;Mujeres;1970;1.654
Total Nacional;04 Almería;Mujeres;1969;1.708
Total Nacional;04 Almería;Mujeres;1968;1.638
Total Nacional;04 Almería;Mujeres;1967;1.512
Total Nacional;04 Almería;Mujeres;1966;1.451
Total Nacional;04 Almería;Mujeres;1965;1.495
Total Nacional;04 Almería;Mujeres;1964;1.492
Total Nacional;04 Almería;Mujeres;1963;1.555
Total Nacional;04 Almería;Mujeres;1962;1.571
Total Nacional;04 Almería;Mujeres;1961;1.615
Total Nacional;04 Almería;Mujeres;1960;1.623
Total Nacional;04 Almería;Mujeres;1959;""
Total Nacional;04 Almería;Mujeres;1958;""
Total Nacional;04 Almería;Mujeres;1957;""
Total Nacional;04 Almería;Mujeres;1956;""
Total Nacional;04 Almería;Mujeres;1955;""
Total Nacional;04 Almería;Mujeres;1954;""
Total Nacional;04 Almería;Mujeres;1953;""
Total Nacional;04 Almería;Mujeres;1952;""
Total Nacional;04 Almería;Mujeres;1951;""
Total Nacional;04 Almería;Mujeres;1950;""
Total Nacional;04 Almería;Mujeres;1949;""
Total Nacional;04 Almería;Mujeres;1948;""
Total Nacional;04 Almería;Mujeres;1947;""
Total Nacional;04 Almería;Mujeres;1946;""
Total Nacional;04 Almería;Mujeres;1945;""
Total Nacional;04 Almería;Mujeres;1944;""
Total Nacional;04 Almería;Mujeres;1943;""
Total Nacional;04 Almería;Mujeres;1942;""
Total Nacional;04 Almería;Mujeres;1941;""
Total Nacional;04 Almería;Mujeres;1940;""
Total Nacional;04 Almería;Mujeres;1939;""
Total Nacional;04 Almería;Mujeres;1938;""
Total Nacional;04 Almería;Mujeres;1937;""
Total Nacional;04 Almería;Mujeres;1936;""
Total Nacional;04 Almería;Mujeres;1935;""
Total Nacional;04 Almería;Mujeres;1934;""
Total Nacional;04 Almería;Mujeres;1933;""
Total Nacional;04 Almería;Mujeres;1932;""
Total Nacional;04 Almería;Mujeres;1931;""
Total Nacional;04 Almería;Mujeres;1930;""
Total Nacional;01 Araba/Álava;Total;1974;1.602
Total Nacional;01 Araba/Álava;Total;1973;1.593
Total Nacional;01 Araba/Álava;Total;1972;1.467
Total Nacional;01 Araba/Álava;Total;1971;1.658
Total Nacional;01 Araba/Álava;Total;1970;1.542
Total Nacional;01 Araba/Álava;Total;1969;1.660
Total Nacional;01 Araba/Álava;Total;1968;1.417
Total Nacional;01 Araba/Álava;Total;1967;1.409
Total Nacional;01 Araba/Álava;Total;1966;1.401
Total Nacional;01 Araba/Álava;Total;1965;1.386
Total Nacional;01 Araba/Álava;Total;1964;1.395
Total Nacional;01 Araba/Álava;Total;1963;1.347
Total Nacional;01 Araba/Álava;Total;1962;1.384
Total Nacional;01 Araba/Álava;Total;1961;1.267
Total Nacional;01 Araba/Álava;Total;1960;1.232
Total Nacional;01 Araba/Álava;Total;1959;1.178
Total Nacional;01 Araba/Álava;Total;1958;1.202
Total Nacional;01 Araba/Álava;Total;1957;1.239
Total Nacional;01 Araba/Álava;Total;1956;1.287
Total Nacional;01 Araba/Álava;Total;1955;1.152
Total Nacional;01 Araba/Álava;Total;1954;1.166
Total Nacional;01 Araba/Álava;Total;1953;1.214
Total Nacional;01 Araba/Álava;Total;1952;1.105
Total Nacional;01 Araba/Álava;Total;1951;1.420
Total Nacional;01 Araba/Álava;Total;1950;1.280
Total Nacional;01 Araba/Álava;Total;1949;1.349
Total Nacional;01 Araba/Álava;Total;1948;1.169
